dealdate	totalPrice	unitPrice	square	count
2017-05-24	550.1000	47791.4000	110.4500	20
2017-05-25	486.1429	53112.3333	85.6667	21
2017-05-26	449.7778	56225.8889	81.7222	18
2017-05-27	700.7083	59952.1667	110.7917	24
2017-05-28	549.3500	63537.8500	89.0000	20
2017-05-29	661.1250	68112.6250	96.5625	16
2017-05-30	508.6774	54421.5484	90.6452	31
2017-05-31	632.6500	62282.8750	91.6500	40
2017-06	828.1709	64687.2563	118.0025	398
2017-06-01	625.5556	61369.0000	98.0000	9
2017-06-02	368.7273	49461.5455	51.7273	11
2017-06-03	577.0870	61662.9565	87.0000	23
2017-06-04	588.9063	63568.6563	89.1563	32
2017-06-05	472.8519	55093.3704	82.9630	27
2017-06-06	573.7500	64159.0625	90.3125	16
2017-06-07	636.0476	67399.5238	90.9524	21
2017-06-08	415.0000	53696.2941	73.6471	17
2017-06-09	701.0000	60107.3684	125.8947	19
2017-06-10	628.0526	64382.1579	79.6842	19
2017-06-11	592.7447	59103.0426	99.4468	47
2017-06-12	628.0303	61280.6364	99.6364	33
2017-06-13	669.5714	61355.7619	98.0952	21
2017-06-14	597.8500	59567.4000	102.8500	20
2017-06-15	568.3571	59949.4286	92.0714	14
2017-06-16	794.4000	68952.9000	98.1000	10
2017-06-17	540.2941	57065.7059	87.7059	17
2017-06-18	501.9706	63214.1765	81.0882	34
2017-06-19	607.8824	55070.3529	102.0588	34
2017-06-20	472.4615	59002.6154	76.1538	26
2017-06-21	555.7143	56768.5238	89.5714	21
2017-06-22	610.4444	66616.6296	91.2222	27
2017-06-23	502.5000	54656.6667	91.8889	18
2017-06-24	478.8929	52331.1071	84.5357	28
2017-06-25	633.8846	61387.0000	104.1538	26
2017-06-26	630.8788	57840.6970	106.1212	33
2017-06-27	574.2759	61365.4483	88.0000	29
2017-06-28	549.6000	60157.5500	86.8500	40
2017-06-29	502.4000	58230.3000	92.3000	20
2017-06-30	502.5172	52657.0690	87.8966	29
2017-07	785.4316	64075.4674	113.4337	475
2017-07-01	661.0000	58535.7857	94.7857	14
2017-07-02	766.2400	61115.9600	118.3200	25
